"filename", "language", "C++", "Markdown", "C", "comment", "blank", "total"
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/slic3r.cpp", "C++", 416, 0, 0, 51, 43, 510
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/slic3r.hpp", "C++", 27, 0, 0, 2, 12, 41
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/standalone/config.h", "C++", 0, 0, 0, 0, 1, 1
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_3mf.cpp", "C++", 16, 0, 0, 0, 4, 20
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_amf.cpp", "C++", 81, 0, 0, 0, 5, 86
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_config.cpp", "C++", 203, 0, 0, 0, 12, 215
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_extrusion_entity.cpp", "C++", 64, 0, 0, 4, 12, 80
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_fill.cpp", "C++", 162, 0, 0, 249, 37, 448
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_flow.cpp", "C++", 178, 0, 0, 9, 16, 203
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_gcode.cpp", "C++", 55, 0, 0, 1, 14, 70
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_gcodewriter.cpp", "C++", 117, 0, 0, 0, 11, 128
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_geometry.cpp", "C++", 266, 0, 0, 80, 33, 379
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_log.cpp", "C++", 684, 0, 0, 0, 12, 696
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_model.cpp", "C++", 43, 0, 0, 0, 8, 51
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_polygon.cpp", "C++", 37, 0, 0, 2, 9, 48
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_print.cpp", "C++", 133, 0, 0, 4, 10, 147
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_printgcode.cpp", "C++", 258, 0, 0, 0, 15, 273
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_printobject.cpp", "C++", 170, 0, 0, 0, 9, 179
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_skirt_brim.cpp", "C++", 233, 0, 0, 8, 33, 274
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_support_material.cpp", "C++", 218, 0, 0, 21, 57, 296
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_test_data.cpp", "C++", 26, 0, 0, 0, 4, 30
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_transformationmatrix.cpp", "C++", 207, 0, 0, 0, 11, 218
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_trianglemesh.cpp", "C++", 375, 0, 0, 0, 54, 429
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_data.cpp", "C++", 2319, 0, 0, 1, 28, 2348
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_data.hpp", "C++", 51, 0, 0, 8, 18, 77
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_harness.cpp", "C++", 2, 0, 0, 0, 1, 3
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/utils/extrude-tin.cpp", "C++", 45, 0, 0, 3, 11, 59
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BSpline.cpp", "C++", 614, 0, 0, 182, 84, 880
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BSpline.h", "C++", 96, 0, 0, 300, 57, 453
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BandedMatrix.h", "C++", 256, 0, 0, 56, 64, 376
